Training;TWI;SLOPE;PROFC;PLANC;NDVI;LANDUSE;GEOM;GEO;ELEV;ASP
1;3.948191;39.097321;-0.018715;-0.00418;0.629293;6;3;10;30.124228;298.939514
1;4.70858;24.333511;0.002538;-0.001662;0.583064;3;1;3;314.163818;164.888489
1;4.314515;29.333244;-0.001842;-0.002296;0.606951;3;1;3;305.575378;170.40097
1;4.285316;23.856159;0.004579;0.009506;0.634346;3;1;3;269.2565;116.579414
1;4.157038;27.678217;-0.001461;0.003632;0.64046;3;1;3;259.540894;106.283997
1;4.311133;25.494028;0.009373;0.01251;0.563437;3;1;8;387.171448;200.79361
1;4.209602;30.357237;-0.005251;-0.010579;0.579317;3;1;8;389.59967;202.685394
1;4.634556;28.939928;-0.003006;-0.003652;0.632504;3;1;3;304.216492;157.644974
1;4.742729;22.932644;-0.001944;-0.003286;0.603332;3;1;3;295.454346;183.790909
1;4.028765;32.613106;0.001628;-0.00472;0.621349;3;1;3;275.05014;121.613464
1;4.305791;22.723629;0.002843;0.018622;0.655898;3;1;3;264.473053;140.322601
1;4.396294;26.274982;-0.000704;0.000875;0.534547;3;1;3;296.435455;186.721436
1;4.920816;24.458561;-0.001222;-0.005555;0.555582;3;1;3;286.613708;176.291458
1;5.51458;3.445432;0.012353;-0.001119;0.028538;3;1;10;215;112.688766
1;4.358989;22.485561;0.013007;0.00814;0.308636;3;1;10;194.642365;117.092117
1;5.782507;7.176828;-0.014605;-0.000357;0.1942;6;3;12;10.110521;334.313477
1;5.487226;22.907751;-0.005525;0.003332;0.581677;3;1;8;361.580139;196.696564
1;5.133026;21.858276;0.002533;-0.009935;0.656318;3;1;3;289.620483;152.048264
1;3.891561;37.065636;-0.001328;-0.006592;0.538489;3;1;3;290.425598;207.448486
1;4.05376;30.157261;-0.001466;0.002323;0.437322;3;1;3;238.17955;114.321198
1;4.276301;23.648563;-0.004465;-0.001568;0.191359;3;1;10;206.229431;121.207466
1;4.19774;30.042065;-0.056034;-0.001711;0.494558;3;3;12;15.070568;357.096191
1;4.194646;31.697803;-0.000344;0.006205;0.597086;6;3;12;33.721741;304.993958
1;4.47073;20.574814;0.01012;0.007415;0.591987;3;1;8;350.019348;210.758362
1;5.342672;18.586353;-0.000928;-0.000313;0.579316;3;1;3;374.044922;204.325623
1;4.276554;28.419895;-0.003863;-0.007974;0.620719;3;1;3;268.935547;171.138489
1;4.220545;27.211731;0.00873;0.00704;0.628834;3;1;3;269.16394;169.599335
1;4.15413;27.731653;0.001834;-0.000385;0.280566;3;1;3;233.810257;112.404144
1;4.522819;21.64193;-9.00E-06;-0.002912;0.113176;3;1;10;217.577301;140.109177
